Z, Bz
0,668.147245
1,707.440903
2,748.555895
3,791.372760
4,835.715105
5,881.342874
6,927.948006
7,975.153831
8,1022.519586
9,1069.551079
10,1115.717781
11,1160.475572
12,1203.293132
13,1243.679050
14,1281.206372
15,1315.531916
16,1346.408964
17,1373.693508
18,1397.345335
19,1417.425484
20,1434.090823
21,1447.585382
22,1458.227137
23,1466.389046
24,1472.474178
25,1476.886589
26,1480.001265
27,1482.137566
28,1483.540564
29,1484.373686
30,1484.724233
31,1484.621124
32,1484.061956
33,1483.044549
34,1481.597123
35,1479.801266
36,1477.803213
37,1475.811294
38,1474.080157
39,1472.884874
40,1472.489623
41,1473.116108
42,1474.916376
43,1477.953586
44,1482.192965
45,1487.503899
46,1493.672873
47,1500.425747
48,1507.456552
49,1514.458814
50,1521.154641
51,1527.316842
52,1532.780504
53,1537.442661
54,1541.251374
55,1544.188137
56,1546.249015
57,1547.430073
58,1547.721217
59,1547.110054
60,1545.594443
61,1543.199793
62,1539.995681
63,1536.106281
64,1531.710628
65,1527.031199
66,1522.312176
67,1517.791070
68,1513.668741
69,1510.083014
70,1507.090348
71,1504.658630
72,1502.672540
73,1500.951168
74,1499.275753
75,1497.423709
76,1495.203737
77,1492.486142
78,1489.222962
79,1485.454146
80,1481.298629
81,1476.932045
82,1472.555283
83,1468.359537
84,1464.493715
85,1461.039313
86,1457.996407
87,1455.282735
88,1452.746066
89,1450.188265
90,1447.397750
91,1444.185514
92,1440.418921
93,1436.047475
94,1431.115912
95,1425.762223
96,1420.200996
97,1414.695136
98,1409.520795
99,1404.931024
100,1401.123187
101,1398.214130
102,1396.225709
103,1395.082058
104,1394.618862
105,1394.603864
106,1394.766613
107,1394.834191
108,1394.568327
109,1393.798503
110,1392.445673
111,1390.532436
112,1388.177745
113,1385.576945
114,1382.970505
115,1380.606420
116,1378.701771
117,1377.408431
118,1376.786677
119,1376.789186
120,1377.256615
121,1377.924844
122,1378.442956
123,1378.399837
124,1377.356087
125,1374.876879
126,1370.560973
127,1364.061631
128,1355.096906
129,1343.449381
130,1328.958120
131,1311.507643
132,1291.019202
133,1267.448491
134,1240.791371
135,1211.096200
136,1178.478777
137,1143.134753
138,1105.344831
139,1065.469998
140,1023.936693
141,981.214245
142,937.788437
143,894.135377
144,850.699083
145,807.874891
146,765.999342
147,725.346104
148,686.126771
149,648.495136
150,612.553580
151,578.360460
152,545.937660
153,515.277762
154,486.350507
155,459.108416
156,433.491522
157,409.431283
158,386.853721
159,365.681918
160,345.837949
161,327.244356
162,309.825237
163,293.507045
164,278.219127
165,263.894090
166,250.468010
167,237.880532
168,226.074882
169,214.997821
170,204.599546
171,194.833568
172,185.656561
173,177.028203
174,168.911005
175,161.270147
176,154.073302
177,147.290479
178,140.893857
179,134.857637
180,129.157898
181,123.772457
182,118.680744
183,113.863682
184,109.303572
185,104.983991
186,100.889695
187,97.006530
188,93.321348
189,89.821929
190,86.496913
191,83.335734
192,80.328557
193,77.466227
194,74.740214
195,72.142566
196,69.665870
197,67.303206
198,65.048115
199,62.894563
200,60.836909
201,58.869878
202,56.988536
203,55.188259
204,53.464719
205,51.813858
206,50.231868
207,48.715178
208,47.260434
209,45.864485
210,44.524370
211,43.237303
212,42.000662
213,40.811979
214,39.668930
215,38.569323
216,37.511091
217,36.492284
218,35.511063
219,34.565687
220,33.654515
221,32.775993
222,31.928652
223,31.111102
224,30.322026
225,29.560177
226,28.824373
227,28.113494
228,27.426478
229,26.762314
230,26.120046
231,25.498765
232,24.897605
233,24.315745
234,23.752403
235,23.206837
236,22.678338
237,22.166232
238,21.669878
239,21.188663
240,20.722005
241,20.269347
242,19.830158
243,19.403933
244,18.990187
245,18.588458
246,18.198306
247,17.819308
248,17.451061
249,17.093180
250,16.745295
251,16.407053
252,16.078115
253,15.758159
254,15.446874
255,15.143962
256,14.849138
257,14.562129
258,14.282672
259,14.010517
260,13.745421
261,13.487152
262,13.235489
263,12.990217
264,12.751130
265,12.518031
266,12.290731
267,12.069046
268,11.852801
269,11.641826
270,11.435959
271,11.235044
272,11.038929
273,10.847470
274,10.660526
275,10.477962
276,10.299648
277,10.125460
278,9.955276
279,9.788979
280,9.626457
281,9.467602
282,9.312309
283,9.160477
284,9.012007
285,8.866806
286,8.724782
287,8.585848
288,8.449918
289,8.316910
290,8.186745
291,8.059345
292,7.934636
293,7.812546
294,7.693006
295,7.575948
296,7.461307
297,7.349019
298,7.239024
299,7.131262
300,7.025675
301,6.922209
302,6.820809
303,6.721424
304,6.624001
305,6.528493
306,6.434852
307,6.343031
308,6.252985
309,6.164672
310,6.078049
311,5.993076
312,5.909711
313,5.827918
314,5.747657
315,5.668894
316,5.591593
317,5.515719
318,5.441239
319,5.368120
320,5.296332
321,5.225843
322,5.156624
323,5.088645
324,5.021880
325,4.956300
326,4.891878
327,4.828589
328,4.766408
329,4.705310
330,4.645272
331,4.586269
332,4.528280
333,4.471282
334,4.415255
335,4.360176
336,4.306026
337,4.252786
338,4.200435
339,4.148955
340,4.098327
341,4.048535
342,3.999559
343,3.951385
344,3.903994
345,3.857371
346,3.811500
347,3.766365
348,3.721953
349,3.678248
350,3.635235
351,3.592902
352,3.551235
353,3.510219
354,3.469844
355,3.430095
356,3.390960
357,3.352429
358,3.314488
359,3.277126
360,3.240333
361,3.204097
362,3.168408
363,3.133255
364,3.098628
365,3.064517
366,3.030913
367,2.997806
368,2.965186
369,2.933045
370,2.901374
371,2.870164
372,2.839406
373,2.809093
374,2.779216
375,2.749768
376,2.720739
377,2.692124
378,2.663915
379,2.636104
380,2.608684
381,2.581648
382,2.554990
383,2.528703
384,2.502780
385,2.477215
386,2.452001
387,2.427134
388,2.402606
389,2.378412
390,2.354546
391,2.331002
392,2.307776
393,2.284861
394,2.262252
395,2.239945
396,2.217933
397,2.196213
398,2.174779
399,2.153627
400,2.132752
401,2.112149
402,2.091813
403,2.071741
404,2.051929
405,2.032371
406,2.013064
407,1.994004
408,1.975187
409,1.956608
410,1.938265
411,1.920153
412,1.902268
413,1.884608
414,1.867168
415,1.849945
416,1.832936
417,1.816137
418,1.799545
419,1.783157
420,1.766970
421,1.750980
422,1.735184
423,1.719581
424,1.704166
425,1.688936
426,1.673890
427,1.659023
428,1.644334
429,1.629820
430,1.615478
431,1.601306
432,1.587301
433,1.573460
434,1.559782
435,1.546263
436,1.532902
437,1.519696
438,1.506642
439,1.493740
440,1.480985
441,1.468377
442,1.455913
443,1.443592
444,1.431410
445,1.419366
446,1.407459
447,1.395685
448,1.384044
449,1.372534
450,0.000000
451,0.000000
452,0.000000
453,0.000000
454,0.000000
455,0.000000
456,0.000000
457,0.000000
458,0.000000
459,0.000000
460,0.000000
461,0.000000
462,0.000000
463,0.000000
464,0.000000
465,0.000000
466,0.000000
467,0.000000
468,0.000000
469,0.000000
470,0.000000
471,0.000000
472,0.000000
473,0.000000
474,0.000000
475,0.000000
476,0.000000
477,0.000000
478,0.000000
479,0.000000
480,0.000000
481,0.000000
