,Unnamed: 0,sig_offset,dNu1 (GHz),dNu2 (GHz),B_U (GHz),B_L (GHz),T (eV),b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
15,15,0.0003539660133020675,0.004461661434307952,0.004299476805058088,0.02588801843323214,0.023985533501311437,0.0005991903415333216,0.00817550355652373,0.02308360244930166,0.055992169603937936,0.00930881035577428,0.0074566810650947175,0.010426543029394218,0.004476278998277911,0.005441468173669847,0.008016034208542007,0.0140091326887373,0.009676598050924426,0.010028781923961677,0.05256555732071007,0.006281550138673415,0.005949134765589175
111,111,0.00035396589252647875,0.00446267940113408,0.0042997389131821575,0.025891411133778814,0.023989971401996584,0.0005992661213037772,0.008174794205739624,0.023088565805578592,0.05602502097024892,0.00930942917768405,0.0074571906020351455,0.010427923795704706,0.004476348748942309,0.005442052954623277,0.008016105171324787,0.014012594518623463,0.009677759788606648,0.010031487415462195,0.052595782956131716,0.006281952471063516,0.005949611393136335
169,169,0.000353965810288448,0.0044623718999675715,0.00429966981910962,0.025890167303419663,0.02398841420550411,0.0005992367886755936,0.00817485566000401,0.02308683950958644,0.056021365000046425,0.009309458864650856,0.007457201450084236,0.010427603507400093,0.004476384532064638,0.0054418973605372244,0.008016151003582201,0.014011641394502623,0.009677589722397177,0.010030613083207223,0.05259217233747263,0.006281737402423411,0.005949481098639842
272,272,0.00035396590113622123,0.004462113766798932,0.0042996279477885025,0.025889598767367072,0.02398739739610984,0.0005992269915310684,0.008175249433727563,0.023085251101882576,0.05600068295910378,0.009308711852499598,0.007456634623262176,0.01042706390689273,0.0044762551759425845,0.005441636983257728,0.008016045730637323,0.014010642268910157,0.009676812559582179,0.01002948512800415,0.05257290328712872,0.006281823026923722,0.0059493226511075185
311,311,0.0004153394516982967,0.002218138244083618,0.005850494477810699,0.024277580566086927,0.018387937292140926,0.0006179469475505875,0.003129358003323371,0.007093383247407447,0.04782662698447892,0.04512342732492718,0.03757992110274834,0.02366278183014889,0.016507713503472545,0.008777823149539161,0.035855638628494974,0.0056391375955154276,0.04884627305549093,0.011413063709391495,0.05320510163395655,0.011242637145573879,0.0022494183365197686
360,360,0.00035396623529871025,0.0044611938743682545,0.004299362202028647,0.025886409267651258,0.023983582997554032,0.000599146551362969,0.008175623425662276,0.023081855341682063,0.055996584759800405,0.009309250539660635,0.007456986107835944,0.01042618194536812,0.0044763845177263175,0.005441354128230222,0.00801619923203995,0.014007654503090071,0.009676695723801223,0.010028177371674149,0.05256976870921522,0.006281201514393771,0.005948956748254922
476,476,0.0003539659756321232,0.004460865467139588,0.0042992316546480985,0.02588497240685149,0.02398184100104716,0.0005991215063519582,0.008175861130917195,0.023079789963688757,0.055973736657578654,0.009308704894840135,0.0074565543255162734,0.010425536447224906,0.004476288543402817,0.0054410648697792476,0.008015993896627925,0.014006524553215494,0.009675984680168764,0.010026873264651664,0.05254869698759712,0.00628105128956535,0.005948776915652901
477,477,0.0003539656836413031,0.004462686560336598,0.004299747896602457,0.025891141115934862,0.023989694657545302,0.0005992597953079206,0.008174644520348133,0.023088221750236157,0.05602955914436585,0.009309575456456972,0.007457304301685575,0.010428002101430628,0.004476389986005178,0.005442051406799621,0.008016144054860064,0.01401270387520196,0.009677881351365271,0.010031329290115666,0.05259965624416806,0.006281859202747113,0.005949622298851332
575,575,0.00035396618045515683,0.004459980943862752,0.0042990080823862055,0.025881987889682732,0.023978029367974003,0.0005990512695111575,0.008176339749707301,0.023075768395113043,0.05595470447682087,0.009308567393968882,0.007456408336605042,0.010424485014566307,0.004476313724940447,0.005440648884580692,0.008016033636489204,0.014003604219006337,0.009675315408077258,0.01002485480149552,0.0525312842446154,0.006280616079672595,0.005948391581314634
603,603,0.0003539658416906389,0.004463378821574918,0.00429991960738013,0.02589383021362241,0.023993097484655012,0.0005993204979846707,0.008174366116003877,0.023092053437633618,0.05604612738308377,0.009309791764685174,0.007457496700950566,0.010428856496791409,0.004476379506462031,0.005442448238800304,0.00801614288974635,0.014014938439266544,0.009678511158816322,0.010033370483373045,0.05261528010533336,0.006282265343865071,0.005949935302167744
