Z, Bz
0,674.594392
1,713.975645
2,755.179889
3,798.087704
4,842.522735
5,888.244973
6,934.946399
7,982.250388
8,1029.716223
9,1076.849762
10,1123.120524
11,1167.984441
12,1210.910245
13,1251.406579
14,1289.046546
15,1323.487020
16,1354.481344
17,1381.885570
18,1405.659549
19,1425.864385
20,1442.657015
21,1456.281536
22,1467.055998
23,1475.353431
24,1481.576983
25,1486.130788
26,1489.389913
27,1491.673804
28,1493.227619
29,1494.214875
30,1494.722966
31,1494.780910
32,1494.386401
33,1493.537363
34,1492.262123
35,1490.642378
36,1488.824479
37,1487.016873
38,1485.474331
39,1484.472051
40,1484.274343
41,1485.103046
42,1487.110349
43,1490.359555
44,1494.816044
45,1500.349357
46,1506.746142
47,1513.732429
48,1521.002421
49,1528.249827
50,1535.196943
51,1541.616770
52,1547.344602
53,1552.277680
54,1556.364284
55,1559.586134
56,1561.939530
57,1563.420783
58,1564.020051
59,1563.725207
60,1562.534382
61,1560.473271
62,1557.611747
63,1554.074293
64,1550.040264
65,1545.732471
66,1541.395442
67,1537.267051
68,1533.548532
69,1530.378104
70,1527.812631
71,1525.820424
72,1524.286607
73,1523.030731
74,1521.834512
75,1520.475867
76,1518.764015
77,1516.569806
78,1513.845844
79,1510.632669
80,1507.049831
81,1503.273606
82,1499.505554
83,1495.937566
84,1492.719279
85,1489.932951
86,1487.579449
87,1485.577343
88,1483.775263
89,1481.975977
90,1479.968845
91,1477.565841
92,1474.635355
93,1471.127962
94,1467.089515
95,1462.659170
96,1458.052732
97,1453.534375
98,1449.381576
99,1445.848767
100,1443.134754
101,1441.357885
102,1440.541584
103,1440.611615
104,1441.405369
105,1442.692358
106,1444.203978
107,1445.669229
108,1446.851840
109,1447.583367
110,1447.786921
111,1447.487342
112,1446.805901
113,1445.940352
114,1445.133653
115,1444.636372
116,1444.668251
117,1445.383900
118,1446.846418
119,1449.011380
120,1451.722409
121,1454.718424
122,1457.651603
123,1460.113980
124,1461.669342
125,1461.886075
126,1460.366168
127,1456.766099
128,1450.807116
129,1442.274936
130,1431.011677
131,1416.904798
132,1399.878332
133,1379.890553
134,1356.939655
135,1331.076020
136,1302.417105
137,1271.159782
138,1237.585458
139,1202.055229
140,1164.994960
141,1126.872625
142,1088.171777
143,1049.365316
144,1010.892977
145,973.144639
146,936.450130
147,901.075070
148,867.221611
149,835.032687
150,804.598394
151,775.963429
152,749.134720
153,724.088736
154,700.778141
155,679.137668
156,659.089150
157,640.545779
158,623.415638
159,607.604591
160,593.018618
161,579.565665
162,567.157062
163,555.708562
164,545.141055
165,535.380975
166,526.360458
167,518.017275
168,510.294580
169,503.140526
170,496.507786
171,490.353021
172,484.636351
173,479.320850
174,474.372116
175,469.757923
176,465.447986
177,461.413832
178,457.628770
179,454.067961
180,450.708546
181,447.529809
182,444.513354
183,441.643246
184,438.906099
185,436.291086
186,433.789848
187,431.396309
188,429.106385
189,426.917612
190,424.828713
191,422.839128
192,420.948530
193,419.156375
194,417.461502
195,415.861805
196,414.354009
197,412.933558
198,411.594610
199,410.330156
200,409.132243
201,407.992281
202,406.901428
203,405.851002
204,404.832910
205,403.840054
206,402.866672
207,401.908607
208,400.963460
209,400.030631
210,399.111232
211,398.207884
212,397.324402
213,396.465411
214,395.635891
215,394.840714
216,394.084177
217,393.369582
218,392.698883
219,392.072415
220,391.488736
221,390.944588
222,390.434970
223,389.953345
224,389.491939
225,389.042149
226,388.595012
227,388.141726
228,387.674171
229,387.185422
230,386.670194
231,386.125208
232,385.549436
233,384.944221
234,384.313254
235,383.662406
236,382.999438
237,382.333597
238,381.675125
239,381.034720
240,380.422970
241,379.849801
242,379.323957
243,378.852549
244,378.440689
245,378.091219
246,377.804551
247,377.578632
248,377.409014
249,377.289052
250,377.210205
251,377.162425
252,377.134642
253,377.115289
254,377.092862
255,377.056487
256,376.996447
257,376.904646
258,376.774985
259,376.603616
260,376.389064
261,376.132204
262,375.836100
263,375.505714
264,375.147506
265,374.768954
266,374.378028
267,373.982640
268,373.590128
269,373.206775
270,372.837413
271,372.485128
272,372.151071
273,371.834400
274,371.532348
275,371.240417
276,370.952684
277,370.662218
278,370.361563
279,370.043290
280,369.700561
281,369.327687
282,368.920646
283,368.477514
284,367.998805
285,367.487669
286,366.949963
287,366.394172
288,365.831186
289,365.273970
290,364.737110
291,364.236307
292,363.787804
293,363.407805
294,363.111905
295,362.914541
296,362.828502
297,362.864493
298,363.030779
299,363.332906
300,363.773496
301,364.352141
302,365.065369
303,365.906702
304,366.866792
305,367.933646
306,369.092926
307,370.328318
308,371.621973
309,372.954990
310,374.307941
311,375.661403
312,376.996477
313,378.295278
314,379.541348
315,380.719994
316,381.818507
317,382.826278
318,383.734783
319,384.537465
320,385.229522
321,385.807629
322,386.269623
323,386.614194
324,386.840600
325,386.948455
326,386.937596
327,386.808049
328,386.560099
329,386.194453
330,385.712469
331,385.116451
332,384.409939
333,383.598003
334,382.687466
335,381.687061
336,380.607476
337,379.461290
338,378.262786
339,377.027650
340,375.772585
341,374.514838
342,373.271687
343,372.059907
344,370.895243
345,369.791918
346,368.762190
347,367.815989
348,366.960629
349,366.200622
350,365.537586
351,364.970261
352,364.494629
353,364.104130
354,363.789982
355,363.541589
356,363.347024
357,363.193572
358,363.068322
359,362.958768
360,362.853398
361,362.742241
362,362.617349
363,362.473163
364,362.306771
365,362.118015
366,361.909454
367,361.686187
368,361.455536
369,361.226615
370,361.009818
371,360.816244
372,360.657097
373,360.543092
374,360.483889
375,360.487591
376,360.560315
377,360.705850
378,360.925427
379,361.217586
380,361.578169
381,362.000411
382,362.475144
383,362.991099
384,363.535295
385,364.093496
386,364.650719
387,365.191763
388,365.701743
389,366.166576
390,366.573413
391,366.910984
392,367.169818
393,367.342353
394,367.422908
395,367.407531
396,367.293745
397,367.080210
398,366.766330
399,366.351851
400,365.836474
401,365.219526
402,364.499710
403,363.674956
404,362.742387
405,361.698400
406,360.538847
407,359.259312
408,357.855432
409,356.323264
410,354.659634
411,352.862441
412,350.930898
413,348.865667
414,346.668875
415,344.344020
416,341.895754
417,339.329563
418,336.651373
419,333.867111
420,330.982247
421,328.001357
422,324.927740
423,321.763115
424,318.507418
425,315.158726
426,311.713297
427,308.165751
428,304.509362
429,300.736465
430,296.838938
431,292.808755
432,288.638551
433,284.322185
434,279.855257
435,275.235548
436,270.463359
437,265.541725
438,260.476493
439,255.276275
440,249.952264
441,244.517956
442,238.988774
443,233.381643
444,227.714537
445,222.006012
446,216.274771
447,210.539263
448,204.817329
449,199.125913
450,0.000000
451,0.000000
452,0.000000
453,0.000000
454,0.000000
455,0.000000
456,0.000000
457,0.000000
458,0.000000
459,0.000000
460,0.000000
461,0.000000
462,0.000000
463,0.000000
464,0.000000
465,0.000000
466,0.000000
467,0.000000
468,0.000000
469,0.000000
470,0.000000
471,0.000000
472,0.000000
473,0.000000
474,0.000000
475,0.000000
476,0.000000
477,0.000000
478,0.000000
479,0.000000
480,0.000000
481,0.000000
482,0.000000
483,0.000000
484,0.000000
485,0.000000
486,0.000000
487,0.000000
488,0.000000
489,0.000000
490,0.000000
491,0.000000
492,0.000000
493,0.000000
494,0.000000
495,0.000000
496,0.000000
497,0.000000
498,0.000000
499,0.000000
500,0.000000
501,0.000000
502,0.000000
503,0.000000
504,0.000000
505,0.000000
506,0.000000
507,0.000000
508,0.000000
509,0.000000
510,0.000000
511,0.000000
512,0.000000
513,0.000000
514,0.000000
515,0.000000
516,0.000000
517,0.000000
518,0.000000
519,0.000000
520,0.000000
521,0.000000
522,0.000000
523,0.000000
524,0.000000
525,0.000000
526,0.000000
527,0.000000
528,0.000000
529,0.000000
530,0.000000
531,0.000000
532,0.000000
533,0.000000
534,0.000000
535,0.000000
536,0.000000
537,0.000000
538,0.000000
539,0.000000
540,0.000000
541,0.000000
542,0.000000
543,0.000000
544,0.000000
545,0.000000
546,0.000000
547,0.000000
548,0.000000
549,0.000000
550,0.000000
551,0.000000
552,0.000000
553,0.000000
554,0.000000
555,0.000000
556,0.000000
557,0.000000
558,0.000000
559,0.000000
560,0.000000
561,0.000000
562,0.000000
563,0.000000
564,0.000000
565,0.000000
566,0.000000
567,0.000000
568,0.000000
569,0.000000
570,0.000000
571,0.000000
572,0.000000
573,0.000000
574,0.000000
575,0.000000
576,0.000000
577,0.000000
578,0.000000
579,0.000000
580,0.000000
581,0.000000
582,0.000000
583,0.000000
584,0.000000
585,0.000000
586,0.000000
587,0.000000
588,0.000000
589,0.000000
590,0.000000
591,0.000000
592,0.000000
593,0.000000
594,0.000000
595,0.000000
596,0.000000
597,0.000000
598,0.000000
599,0.000000
